ID,Aktivität,Teil,n,Bezeichnung,Gruppe
1,02-0028a,02-0028a,12,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,
2,02-0089a,02-0089a,26,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",
3,02-0089a,02-0309a,6,"N-MOSFET THT IRFBC40PBF gebogen, geschnitten MZ-TO220-Typ01",
4,02-0095b,02-0095b,20,N-MOSFET THT IRF3205PBF geschnitten MZ-TO220-Typ04,
5,02-0115a,02-0115a,2,"Silizium Diode THT BYV42E-200 gebogen, geschnitten mit Zange PN-5050-SD",
6,02-0131b,02-0131b,21,Schottky Diode THT MBR20H100CT geschnitten MZ-TO220-Typ03,
7,02-0135a,02-0135a,67,"N-MOSFET THT IRF1405PBF gebogen, geschnitten MZ-TO220-Typ01",
8,02-0135c,02-0135c,15,N-MOSFET THT IRF1405PBF geschnitten MZ-TO220-Typ03,
9,02-0141a,02-0141a,15,Silizium Diode THT MUR8100EG geschnitten MZ-TO220-Typ03,
10,02-0151a,02-0151a,15,Silizium Diode THT 30ETH06 geschnitten MZ-TO220-Typ03,
11,02-0152a,02-0152a,14,IC THT linear Spannungsregler MC7812 CT geschnitten MZ-TO220-Typ03,
12,02-0154c,02-0154c,18,N-MOSFET THT IRFP460A geschnitten MZ-TO247-Typ01,
13,02-0154d,02-0154d,21,N-MOSFET THT IRFP460A geschnitten MZ-TO247-Typ05,
14,02-0167a,02-0167a,5,Schottky Diode THT 40CPQ100 geschnitten MZ-TO247-Typ01,
15,02-0167b,02-0167b,12,Schottky Diode THT 40CPQ100 geschnitten MZ-TO247-Typ03,
16,02-0173a,02-0173a,20,"Schottky Diode THT MBR20200CT gebogen, geschnitten MZ-TO220-Typ01",
17,02-0198b,02-0198b,32,"N-MOSFET THT IRFB3206 gebogen, geschnitten MZ-TO220-Typ01",
18,02-0201a,02-0201a,63,"Gleichrichter THT GBPC3508W 560V 35A, geschnitten MZ-Gleichrichter-1",
19,02-0203a,02-0203a,5,"N-MOSFET THT IRF2804PBF gebogen, geschnitten MZ-TO220-Typ06",
20,02-0214a,02-0214a,4,"N-MOSFET THT IRFB4710 gebogen, geschnitten MZ-TO220-Typ01",
21,02-0223a,02-0223a,19,"IC THT linear Spannungsregler LM317 T-DG gebogen, geschnitten MZ-TO220-Typ01",
22,02-0223a,02-0312a,8,"IC THT linear Spannungsregler LM317 HVT NOPB gebogen, geschnitten MZ-TO220-Typ01",
23,02-0235a,02-0235a,1,P-MOSFET THT IRF4905PBF geschnitten MZ-TO220-Typ04,
24,02-0253b,02-0253b,1,Schottky Diode THT MBR2560CT geschnitten MZ-TO220-Typ03,
25,02-0253d,02-0253d,8,"Schottky Diode THT MBR2560CT gebogen, geschnitten MZ-TO220-Typ09",
26,02-0253e,02-0253e,3,"Schottky Diode THT MBR2560CT gebogen, geschnitten MZ-TO220-Typ10",
27,02-0254a,02-0254a,2,"N-MOSFET THT FDP22N50N gebogen, geschnitten MZ-TO220-Typ01",
28,02-0255a,02-0255a,10,SiC Schottky Diode THT IDH06G65C6XKSA1 geschnitten MZ-TO220-Typ03,
29,02-0255b,02-0255b,8,SiC Schottky Diode THT IDH06G65C6XKSA1 geschnitten MZ-TO220-Typ04,
30,02-0263a,02-0263a,58,"N-MOSFET THT IRFB7437PBF gebogen, geschnitten MZ-TO220-Typ01",
31,02-0263b,02-0263b,66,N-MOSFET THT IRFB7437PBF geschnitten MZ-TO220-Typ04,
32,02-0279a,02-0279a,10,"N-MOSFET THT IPP50R190CE gebogen, geschnitten MZ-TO220-Typ09",
33,02-0295a,02-0295a,22,IGBT THT STGW20NC60VD geschnitten MZ-TO247-Typ01,
34,02-0318b,02-0318b,11,N-MOSFET THT DIT095N08 geschnitten MZ-TO220-Typ04,
35,0318a,02-0318a,11,N-MOSFET THT DIT095N08 geschnitten MZ-TO220-Typ05,
36,AOI-Prüfung,OI-VAG01e-A-01,54,Baugruppe AOI geprüft VCC 1212-30 / 1212-20 C,
37,AOI-Prüfung,OI-VAF02b-B-02,35,Baugruppe AOI geprüft VCC 1212 70-90,
38,AOI-Prüfung,OI-VAI01a-B-03,27,Baugruppe AOI geprüft MPP 260 CI,
39,AOI-Prüfung,OI-VAI01a-C-05,26,Baugruppe AOI geprüft MPP 360 CI,
40,AOI-Prüfung,OI-VAA09b-P-14,21,"Baugruppe AOI geprüft LCD Solarcomputer S, LCD Batteriecomputer S, LCD Charge Control S",
41,AOI-Prüfung,OI-VAI01a-C-07,20,Baugruppe AOI geprüft MPP 440 CI,
42,AOI-Prüfung,OI-VAI01b-C-05,20,Baugruppe AOI geprüft MPPT 360 CI,
43,AOI-Prüfung,OI-VAI01b-B-03,14,Baugruppe AOI geprüft MPPT 170/260 CI,
44,AOI-Prüfung,OI-VAG01e-B-02,13,Baugruppe AOI geprüft DCDC 1212-20,
45,AOI-Prüfung,OI-VAI01a-A-01,12,Baugruppe AOI geprüft MPP 170 CI,
46,AOI-Prüfung,OI-VBA03a-XA,9,Baugruppe AOI geprüft Standby Charger Pro,
47,AOI-Prüfung,OI-VAF02b-E-06,8,Baugruppe AOI geprüft VCC 1212 70-90 CI,
48,AOI-Prüfung,OI-VAI01b-C-07,7,Baugruppe AOI geprüft MPPT 440 CI,
49,AOI-Prüfung,OI-VAG01e-C-03,4,Baugruppe AOI geprüft VCC 1212-30 CI,
50,AOI-Prüfung,OI-VBD08a-A-01,3,Baugruppe AOI geprüft VZE Verteiler Schell,
51,AOI-Prüfung,OI-VAG01d-A-01,2,Baugruppe AOI geprüft VCC 1212-30 / 1212-20 C,
52,AOI-Prüfung,OI-VAG01d-B-02,2,Baugruppe AOI geprüft DCDC 1212-20,
53,AOI-Prüfung,OI-VAG07b-XA,2,Baugruppe AOI geprüft Bluetooth Connector S-BC,
54,AOI-Prüfung,OI-VBD06a-C,2,Baugruppe AOI geprüft Triton Panel Front PCB (Schell),
55,AOI-Prüfung,OI-VBD07b-XC,2,Baugruppe AOI geprüft Triton Controller (Schell),
56,AOI-Prüfung,OI-VAH01a-A,1,Baugruppe AOI geprüft Fernbedienung SMI Sinus WR,
57,AOI-Prüfung,OI-VAI07b-XA,1,Baugruppe AOI geprüft D+ Simulator Pro,
58,AOI-Prüfung,OI-VBA02a-XA,1,Baugruppe AOI geprüft Sirius IO,
59,AOI-Prüfung,OI-VBB04a-XA,1,Baugruppe AOI geprüft SmartShunt-CI,
60,AOI-Prüfung,OI-VBC03b-XA,1,Baugruppe AOI geprüft LCD Energy Monitor CI,
61,AOI-Prüfung,OI-VBD02a-B-02,1,Baugruppe AOI geprüft VZE-M Zentralelektrik 12V Gas,
62,AOI-Prüfung,OI-VBD06a-A,1,Baugruppe AOI geprüft Triton Panel Front PCB,
63,AOI-Prüfung,OI-VBD06a-B,1,Baugruppe AOI geprüft Sirius Panel Front PCB,
64,AOI-Prüfung,OI-VBD07b-XA,1,Baugruppe AOI geprüft Triton Controller,
65,AOI-Prüfung,OI-VBD07b-XB,1,Baugruppe AOI geprüft Sirius Controller,
66,Abgleich  Anzeige- u,PA-3242-00624,24,Platinen abgeglichen VBCS 30-20-250 Triple CI,
67,Abgleich  Anzeige- u,PA-0664-00531,20,Baugruppe geprüft VAC 45-10/25 Triple CI,
68,Abgleich  Anzeige- u,PA-3246-00626,19,Platinen abgeglichen VBCS 60-40-430 Triple CI,
69,Abgleich  Anzeige- u,PA-3244-00625,14,Platinen abgeglichen VBCS 45-30-350 Triple CI,
70,Abgleich  Anzeige- u,PA-125103272-00655,7,Platinen abgeglichen VBCS 60-40-430 HV CI Kabe,
71,Abgleich  Anzeige- u,PA-3270-00644,5,Platinen abgeglichen VBCS 30-20-400 Triple HV CI,
72,Abgleich  Anzeige- u,PA-3272-00646,5,Platinen abgeglichen VBCS 60-40-800 Triple HV CI,
73,Abgleich  Anzeige- u,PA-0666-00611,3,Baugruppe geprüft VAC 60-15/30 Triple CI,
74,Abgleich  Anzeige- u,PA-111105814-00650,3,Baugruppe geprüft VZE Verteiler Schell,
75,Abgleich  Anzeige- u,PA-017203098-00541,2,Baugruppe geprüft MT BCB 40-40 CI (Mobile Technology),
76,Abgleich  Anzeige- u,PA-0664-00610,2,Baugruppe geprüft VAC 45-10/25 Triple CI,
77,Abgleich  Anzeige- u,PA-0666-00532,1,Baugruppe geprüft VAC 60-15/30 Triple CI,
78,Abgleich  Anzeige- u,PA-5810-00649,1,Baugruppe geprüft VZE-M Zentralelektrik 12V Gas,
79,Abgleich / Endprüfun,UV-119760,1,"Gerät fertig montiert, geprüft RWS 5V digital Geber (GEP)",
80,Abgleich / Endprüfun,UV-9760,1,"Gerät fertig montiert, geprüft RWS 5V digital Geber",
81,Abgleich Anzeige- u.,PA-3271-00645,8,Platinen abgeglichen VBCS 45-30-600 Triple HV CI,
82,Aluplatte (Beistellu,KK-W002-180-AA-001,1,Aluplatte vormontiert Wechselrichter 3PhW-24ALU (Wöhr),
83,Artikel lasern,11-1341,28,"Edelstahlhülse beschriftet D=24,2 d=23,2 L=37 Druckbild 0488",
84,Artikel lasern,11-0626,8,Gehäuseoberteil Wz 6843 Druck FB-Schacht SMI 1200/1700 Druckbild 0475 Votronic,
85,Artikel lasern,11-0567,4,Frontplatte Alu sw. beschrftet LED-Tank-Display Druckbild 0476 Neutral,
86,Artikel lasern,11-1326,3,Frontplatte Alu sw. beschritet LED-Tank-Display Druckbild Müller,
87,Artikel lasern,11-0781,1,Frontplatte Alu G beschriftet VAC-Lader groß 1280 Druckbild 0478 Feuerwehr,
88,Artikel lasern,11-1422,1,Gehäuseoberteil Wz 6623 Druck VZE Logikmodul Druckbild 0540,
89,BKK-VKE07h-A-K01,BKK-VKE07h-A-K01,11,KK-Platine Wechselrichter Inverter 1700 SI,
90,BKK-VKE07h-A-K02,BKK-VKE07h-A-K02,60,KK-Platine Wechselrichter Inverter 1700 SI-N,
91,BKK-VKF03g-A-K01,BKK-VKF03g-A-K01,12,KK-Platine Wechselrichter Inverter 1200 SI,
92,BKK-VKF03g-A-K02,BKK-VKF03g-A-K02,9,KK-Platine Wechselrichter Inverter 1200 SI-N,
93,BS-FAF01d-C,BS-VAF01d-C,12,SMD-Baugruppe Ladegeräte PB VAC MT 24V 16A,
94,BS-VAA03-A,BS-VAA03-A,5,SMD-Baugruppe Zisternen SpinFlow SP1-FA Füllstandanz.,
95,BS-VAA04b-A,BS-VAA04b-A,12,SMD-Baugruppe Anzeigen Tankanzeige Wasser und Diesel,
96,BS-VAA04b-B,BS-VAA04b-B,11,SMD-Baugruppe Anzeigen Tankanzeige Abwasser und Fäkal,
97,BS-VAA04b-C,BS-VAA04b-C,6,SMD-Baugruppe Anzeigen Duo Akku-Tester,
98,BS-VAA05c-A,BS-VAA05c-A,6,SMD-Baugruppe Anzeigen Info Panel Pro,
99,BS-VAA06-A,BS-VAA06-A,1,SMD-Baugruppe VBS 2 VBS VE Gateway,
100,BS-VAA09b-G,BS-VAA09b-G,3,SMD-Baugruppe Anzeigen LCD Thermometer-Uhr S,
101,BS-VAA09b-H,BS-VAA09b-H,3,SMD-Baugruppe Anzeigen LCD Voltmeter S,
102,BS-VAA09b-P,BS-VAA09b-P,20,"SMD-Baugruppe Anzeigen LCD Solarcomputer S, LCD Batteriecomputer S, LCD Charge Control S",
103,BS-VAA09b-Q,BS-VAA09b-Q,4,SMD-Baugruppe Anzeigen LCD State of Charge Monitor S,
104,BS-VAA10-A,BS-VAA10-A,2,SMD-Baugruppe Zisternen SpinFlow SP1-FA-S Füllst. anz. abgesetzte LEDs,
105,BS-VAA16a-A,BS-VAA16a-A,6,SMD-Baugruppe VBS 2 Equipment Adapter EQ-CI,
106,BS-VAA16a-B,BS-VAA16a-B,5,SMD-Baugruppe VBS 2 Equipment Adapter EQ-S,
107,BS-VAA17-A,BS-VAA17-A,1,SMD-Baugruppe VBS 2 Dimmer Module 4,
108,BS-VAB01b-B,BS-VAB01b-B,5,"SMD-Baugruppe Anzeigen VPC-ST01 Terra, Luna, Mars",
109,BS-VAB01b-C,BS-VAB01b-C,5,SMD-Baugruppe Anzeigen VPC-ST02 Titan,
110,BS-VAC03b-A,BS-VAC03b-A,1,SMD-Baugruppe VBS 2 Elektro-Verteilung 24/5,
111,BS-VAC04d-A,BS-VAC04d-A,29,SMD-Baugruppe Tankgeber Tankelektrode 15-50 K,
112,BS-VAC04d-C,BS-VAC04d-C,9,SMD-Baugruppe Tankgeber Tankelektrode 95 K-FL (Kärcher),
113,BS-VAC10c-A,BS-VAC10c-A,11,"SMD-Baugruppe Solarregler SR 150-230, 300-24",
114,BS-VAC10c-B,BS-VAC10c-B,2,SMD-Baugruppe Solarregler SR 350-550,
115,BS-VAC12a-A,BS-VAC12a-A,2,SMD-Baugruppe Anzeigen Tankanzeige Frischwasser FTA5 Comet,
116,BS-VAD03a-A,BS-VAD03a-A,5,SMD-Baugruppe VBS 2 Elektro-Verteilung 14/1,
117,BS-VAD41a-A,BS-VAD41a-A,6,SMD-Baugruppe Kombiladegeräte VBCS Displayplatine,
118,BS-VAE04a-A,BS-VAE04a-A,11,SMD-Baugruppe Ladewandler TS-Lader,
119,BS-VAF01c-A,BS-VAF01c-A,6,SMD-Baugruppe Ladegeräte PB VAC MT 12V 15-20A,
120,BS-VAF01c-B,BS-VAF01c-B,1,SMD-Baugruppe Ladegeräte PB VAC MT 12V 25-30A,
121,BS-VAF01c-C,BS-VAF01c-C,2,SMD-Baugruppe Ladegeräte PB VAC MT 24V 16A,
122,BS-VAF01cF-A,BS-VAF01cF-A,1,SMD-Baugruppe Kleinlader VAC 1215 F 3A SKII,
123,BS-VAF01cF-B,BS-VAF01cF-B,1,SMD-Baugruppe Kleinlader VAC 12V 25-30A SKII,
124,BS-VAF01d-A,BS-VAF01d-A,30,SMD-Baugruppe Ladegeräte PB VAC MT 12V 15-20A,
125,BS-VAF01d-B,BS-VAF01d-B,16,SMD-Baugruppe Ladegeräte PB VAC MT 12V 25-30A,
126,BS-VAF01dF-A,BS-VAF01dF-A,9,SMD-Baugruppe Kleinlader VAC 1215 F 2A SKII,
127,BS-VAF01dF-B,BS-VAF01dF-B,6,SMD-Baugruppe Kleinlader VAC 12V 25-30A SKII,
128,BS-VAF01dF-C,BS-VAF01dF-C,3,SMD-Baugruppe Kleinlader VAC 24V 16A SKII,
129,BS-VAF02b-B,BS-VAF02b-B,18,SMD-Baugruppe Ladewandler VCC 1212 70-90,
130,BS-VAF05a-A,BS-VAF05a-A,2,SMD-Baugruppe Anzeigen LED Remote Control S,
131,BS-VAF12a-A,BS-VAF12a-A,2,SMD-Baugruppe VBS 2 WLAN-Interface,
132,BS-VAF12a-AA,BS-VAF12a-AA,2,SMD-Baugruppe VBS 2 WLAN-Interface,
133,BS-VAG01d-A,BS-VAG01d-A,1,SMD-Baugruppe Ladewandler VCC 1212-30 / 1212-20 C,
134,BS-VAG01d-B,BS-VAG01d-B,1,SMD-Baugruppe Ladewandler DCDC 1212-20,
135,BS-VAG01e-A,BS-VAG01e-A,23,SMD-Baugruppe Ladewandler VCC 1212-30 / 1212-20 C,
136,BS-VAG01e-B,BS-VAG01e-B,8,SMD-Baugruppe Ladewandler DCDC 1212-20,
137,BS-VAG05a-A,BS-VAG05a-A,11,SMD-Baugruppe Ladewandler VCC 1212-50 Displayplatine,
138,BS-VAK04-A,BS-VAK04-A,1,SMD-Baugruppe Zisternen SpinFlow SP1 FB,
139,BS-VBB02a-A,BS-VBB02a-A,7,SMD-Baugruppe Meldeausgang 12V/24V,
140,BS-VBB02a-A,BS-VBB04a-XA,1,SMD-Baugruppe SmartShunt-CI,
141,BS-VBC03a-XA,BS-VBC03b-XA,1,SMD-Baugruppe LCD Energy Monitor CI,
142,BS-VBD06a-XA,BS-VBD01a-XA,1,SMD-Baugruppe VZE Modul,
143,BS-VBD06a-XA,BS-VBD06a-XA,1,SMD-Baugruppe Anzeigen Triton Panel Front PCB,
144,BS-VIF1b-A,BS-VIF1b-A,6,SMD-Baugruppe Tanksensor Tanksensor FL,
145,BS-VKA10a-B,BS-VKA10a-B,6,SMD-Baugruppe Anzeigen Fernbedienung Lader Anzeige,
146,BS-VKA10a-E,BS-VKA10a-E,2,SMD-Baugruppe Anzeigen Fernbedienung Duo-Lader,
147,BS-VKC08d-A,BS-VKC08e-A,8,SMD-Baugruppe Ladegeräte VAC und Pb Lader bis 80A Steuerteil,
148,BS-VKC08d-B,BS-VKC08e-B,30,SMD-Baugruppe Ladegeräte VAC Duo-Lader Steuerteil (Wietmarscher),
149,BS-VKC08d-B,BS-VKC08e-D,5,SMD-Baugruppe Ladegeräte VAC Duo Li Steuerteil Wietmarscher,
150,BS-VKD02c-A,BS-VKD02c-A,7,SMD-Baugruppe Tankgeber Tanksensor FW,
151,BS-VKD09-A,BS-VKD09-A,3,SMD-Baugruppe Zisternen RWS 2V und 5V digital Geber,
152,BS-VKE07h-A,BS-VKE07h-A,17,SMD-Baugruppe Wechselrichter Sinus 1700W,
153,BS-VKE08c-A,BS-VKE08c-A,12,SMD-Baugruppe Peripherie Battery Protector 100 Votronic,
154,BS-VKE08c-B,BS-VKE08c-B,4,SMD-Baugruppe Peripherie Switch Unit 100,
155,BS-VKE11b-A,BS-VKE11b-A,3,SMD-Baugruppe Zisternen SpinFlow SP1,
156,BS-VKE11b-B,BS-VKE11b-B,7,SMD-Baugruppe Zisternen SpinFlow SP1 FA-LT,
157,BS-VKE11b-C,BS-VKE11b-C,1,SMD-Baugruppe Zisternen SpinFlow SP1 FB-LT,
158,BS-VKF01d-A,BS-VKF01d-A,15,SMD-Baugruppe Peripherie Battery Protector 40,
159,BS-VKF01d-B,BS-VKF01d-B,5,SMD-Baugruppe Peripherie Switch Unit 40,
160,BS-VKF03g-A,BS-VKF03g-A,6,SMD-Baugruppe Wechselrichter Sinus Wechselrichter 1200W,
161,BS-VKF04b-B,BS-VKF04b-B,14,SMD-Baugruppe Anzeigen LED-Tank-Display HE 010 ovale LEDs,
162,BS-VKF04b-C,BS-VKF04b-C,3,SMD-Baugruppe Anzeigen LED-Tank-Display HE 420 ovale LEDs,
163,BS-VKF04b-D,BS-VKF04b-D,4,SMD-Baugruppe Anzeigen LED-Tank-Display Coldcut volume measurement,
164,BS-VKF06d-A,BS-VKF06d-A,12,SMD-Baugruppe Peripherie Start Alarm 124 / D+ Simulator,
165,BS-VKF07c-D,BS-VKF07c-D,3,SMD-Baugruppe VBS 2 Masterbox VBS2,
166,BS-VKF10-A,BS-VKF10-A,3,SMD-Baugruppe Zubehör Control Unit Sinus Wechselri. Ein-Aus Steuergerät,
167,BS-VKG02a-B,BS-VKG02a-B,1,SMD-Baugruppe Wechselrichter Wöhr 3-Ph Wechselr. 24V ALU,
168,BS-VKI04-A,BS-VKI04-A,2,SMD-Baugruppe Wechselrichter Wöhr 3.Ph Wechselr. 24V ALU IP65,
169,BS-VKK03a-A,BS-VKK03a-A,1,SMD-Baugruppe Zisternen RWS digital alle,
170,BS-VKK16e-A,BS-VKK16e-A,1,SMD-Baugruppe Zisternen RMC Leistungsteil (GEP),
171,BT schneiden/biegen,02-0279b,42,"N-MOSFET THT IPP50R190CE gebogen, geschnitten MZ-TO220-Typ01",
172,BT schneiden/biegen,02-0285a,11,"IGBT THT STGP19NC60KD gebogen, geschnitten mit Zange PN-5050-SD",
173,Bauteil schneiden,02-0038b,39,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,
174,Bauteil schneiden,02-0289b,28,N-MOSFET THT IRFB7734PBF geschnitten MZ-TO220-Typ04,
175,Bauteil schneiden,02-0296b,27,N-MOSFET THT IRFB3307ZPBF geschnitten MZ-TO220-Typ04,
176,Bauteil schneiden,02-0296a,25,N-MOSFET THT IRFB3307ZPBF geschnitten MZ-TO220-Typ05,
177,Bauteil schneiden,15-0044a,21,"Drossel THT Tonne 470uH 420mA 1,3R RM5  10% 9x12,5mm 5mm MZ-Drossel-4",
178,Bauteil schneiden,02-0152b,17,IC THT linear Spannungsregler MC7812 CT geschnitten MZ-TO220-Typ14,
179,Bauteil schneiden,02-0038c,15,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,
180,Bauteil schneiden,15-0046a,15,"Drossel THT axial 10mH 25mA 115R  5% 4x9,5mm RM12,5 4mm MZ-Drossel-3",
181,Bauteil schneiden,02-0297a,12,N-MOSFET THT IRFB7787PBF geschnitten MZ-TO220-Typ05,
182,Bauteil schneiden,15-0010a,12,Drossel THT axial 1mH 60mA 23R  10% 3x7mm RM10 4mm MZ-Drossel-2,
183,Bauteil schneiden,02-0289a,10,N-MOSFET THT IRFB7734PBF geschnitten MZ-TO220-Typ05,
184,Bauteil schneiden,15-0008a,10,Drossel THT axial 220uH 130mA 6R  10% 3x10mm RM10 4mm MZ-Drossel-2,
185,Bauteil schneiden,02-0028b,9,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,
186,Bauteil schneiden,02-0036a,8,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",
187,Bauteil schneiden,02-0297b,8,N-MOSFET THT IRFB7787PBF geschnitten MZ-TO220-Typ04,
188,Bauteil schneiden,02-0038a,7,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,
189,Bauteil schneiden,02-0153a,7,P-MOSFET THT IRF5305 geschnitten MZ-TO220-Typ04,
190,Bauteil schneiden,15-0043a,6,"Drossel THT axial 10mH 65mA 74R  5% 5x14mm RM12,5 4mm MZ-Drossel-3",
191,Bauteil schneiden,02-0089d,3,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ13",
192,Bauteil schneiden,02-0126c,3,Silizium Diode THT VS-8ETX06-M3 geschnitten MZ-TO220-Typ12,
193,Bauteil schneiden,15-0010b,3,"Drossel THT axial 1mH 60mA 23R  10% 3x10mm RM12,5 4mm MZ-Drossel-3",
194,Bauteil schneiden,15-0034a,3,"Drossel THT steht 68mH 18mA 780R  RM5  5% 7,5x4,6x10,5mm 5mm MZ-Drossel-4",
195,Bauteil schneiden,02-0002a,2,"Silizium Diode THT 1N4148 75V 0,3A 0,44W DO35 RM10 4mm MZ-Diode-2 MZ-Diode-2",
196,Bauteil schneiden,02-0010a,2,"Z-Diode THT BZX55C12V od. ZPD12 gebogen, geschnitten RM10 4mm MZ-Diode-2",
197,Bauteil schneiden,02-0026a,2,"NPN-Transistor THT MPSA42 300V 0,5A 0,625W TO92 Werkzeug W047 5,5mm MZ-Transistor-2",
198,Bauteil schneiden,02-0040a,2,"IC THT linear Spannungsregler TL317CLP/LM317LZ MZ-Transistor-2 Werkzeug W047 5,5mm",
199,Bauteil schneiden,02-0105a,2,"IC THT linear Spannungsregler LP2950 CZ-5,0 RAG 5V 0,1A TO92-3, nur TI , ONS 5mm MZ-Transistor-2",
200,Bauteil schneiden,02-0153b,1,P-MOSFET THT IRF5305 geschnitten MZ-TO220-Typ13,
201,Bestückung SMT,BS-VAG06c-A,32,SMD-Baugruppe Lader 12V max. 60A PFC,
202,Bestückung SMT,BS-VKC07m-B,30,SMD-Baugruppe Ladegeräte VAC Leistungsteil 12V 20A/40A (Wietmarscher),
203,Bestückung SMT,BS-VAI01a-C,25,SMD-Baugruppe Solarregler MPP360/440 CI MT MPP360/440 CI,
204,Bestückung SMT,BS-VAG03d-B,23,SMD-Baugruppe Ladewandler VCC 1212-50,
205,Bestückung SMT,BS-VAI01a-B,20,SMD-Baugruppe Solarregler MPP 260 CI / MT MPP 260 CI,
206,Bestückung SMT,BS-VKC07m-A,20,SMD-Baugruppe Ladegeräte VAC Leistungsteil 12V 60A,
207,Bestückung SMT,BS-VKF05g-A,19,SMD-Baugruppe Ladegeräte Mittellader 12V bis 60A,
208,Bestückung SMT,BS-VAD04g-C,18,SMD-Baugruppe Kombiladegeräte VBCS 30-20-250 Hauptplatine,
209,Bestückung SMT,BS-VAI01b-C,13,SMD-Baugruppe Solarregler MPPT 360/440 CI,
210,Bestückung SMT,BS-VKF05h-A,13,SMD-Baugruppe Ladegeräte Mittellader 12V bis 60A,
211,Bestückung SMT,BS-VAD04g-B,10,SMD-Baugruppe Kombiladegeräte VBCS 45-30-350 Hauptplatine,
212,Bestückung SMT,BS-VAD04g-E,10,SMD-Baugruppe Kombiladegeräte VAC 45-10-25 Hauptplatine,
213,Bestückung SMT,BS-VAG06c-B,10,SMD-Baugruppe PFC VAC 230V 12V max. 80A Lader 230V 24V max. 40A Lader 110V alle Ausführungen,
214,Bestückung SMT,BS-VAD04g-I,9,SMD-Baugruppe Kombiladegeräte VBCS 60-40-800 HV CI Hauptplatine,
215,Bestückung SMT,BS-VAI01a-A,9,SMD-Baugruppe Solarregler MPP 170 CI / MT MPP 170 CI,
216,Bestückung SMT,BS-VAI01b-B,9,SMD-Baugruppe Solarregler MPPT 170/260 CI,
217,Bestückung SMT,BS-VAD04g-A,8,SMD-Baugruppe Kombiladegeräte VBCS 60-40-430 Hauptplatine,
218,Bestückung SMT,BS-VAF08c-A,8,SMD-Baugruppe Anzeigen VPC Jupiter,
219,Bestückung SMT,BS-VKH09e-C,8,SMD-Baugruppe Wechselrichter SMI 600 Sinus NVS 12V,
220,Bestückung SMT,BS-VKI10k-B,8,SMD-Baugruppe Ladewandler 12V 12V45A / MT-LB 45,
221,Bestückung SMT,BS-VAD44c-A,6,SMD-Baugruppe Kombiladegeräte VBCS CI-Bus Komm.platine,
222,Bestückung SMT,BS-VKC07m-D,6,SMD-Baugruppe Ladegeräte VAC Leistungsteil 24V 20A f. Feuerwehr,
223,Bestückung SMT,BS-VKC07m-E,6,SMD-Baugruppe Ladegeräte VAC Leistungsteil 12V 50A,
224,Bestückung SMT,BS-VKF05g-B,6,SMD-Baugruppe Ladegeräte Mittellader 24V bis 30A,
225,Bestückung SMT,BS-VAD04g-J,5,SMD-Baugruppe Kombiladegeräte VBCS 45-30-600 HV CI Hauptplatine,
226,Bestückung SMT,BS-VBA03a-XA,5,SMD-Baugruppe Ladegeräte StandBy Charger Pro,
227,Bestückung SMT,BS-VKI10k-A,5,SMD-Baugruppe Ladewandler VCC 12V12V 25A / MT-LB 25,
228,Bestückung SMT,BS-VKI10k-D,5,SMD-Baugruppe Ladewandler 24V 12V45A,
229,Bestückung SMT,BS-VAF02b-E,4,SMD-Baugruppe Ladewandler VCC 1212 70-90 CI,
230,Bestückung SMT,BS-VKI10k-F,4,SMD-Baugruppe Ladewandler DCDC VCC 24V 24V25A,
231,Bestückung SMT,BS-VAD04g-K,3,SMD-Baugruppe Kombiladegeräte VBCS 30-20-400 HV CI Hauptplatine,
232,Bestückung SMT,BS-VAF07d-A,3,SMD-Baugruppe VBS 2 Bus-Adapter SF-CI,
233,Bestückung SMT,BS-VAG03d-C,3,SMD-Baugruppe Ladewandler VCC 1212-50 CI,
234,Bestückung SMT,BS-VAH05a-A,3,SMD-Baugruppe Solar Data-Extender,
235,Bestückung SMT,BS-VBA02a-XA,3,SMD-Baugruppe Sirius IO,
236,Bestückung SMT,BS-VKH09e-A,3,SMD-Baugruppe Wechselrichter SMI 300 Sinus NVS 12V,
237,Bestückung SMT,BS-VAD04g-F,2,SMD-Baugruppe Kombiladegeräte MT BCB 40-40 Hauptplatine,
238,Bestückung SMT,BS-VAD44c-B,2,SMD-Baugruppe Kombiladegeräte MT BCB CI Komm.platine,
239,Bestückung SMT,BS-VAG07b-XA,2,SMD-bestückte Platine Bluetooth Connector S-BC,
240,Bestückung SMT,BS-VAH01a-A,2,SMD-Baugruppe Fernbedienung FB + Anz MT Ladebooster und Battery Protector,
241,Bestückung SMT,BS-VKC07m-C,2,SMD-Baugruppe Ladegeräte VAC Leistungsteil 24V 20A,
