Teil;TA;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;RMNr;Aktivität;rMenge;Sollte;Istte;ZEte;IstteSek;Solltr;Isttr;ZEtr;Zustand;Isttesn;IstteSollte;IsttrSolltr
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;65931;02-0135a;10;10;12;Sek;12;10;0;Min;nein;1,2;120%;0%
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;65932;02-0135a;2.097,00;2.097,00;2.136,00;Sek;2136;10;0;Min;nein;1,0;102%;0%
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;43275;02-0135a;1.000,00;1.000,00;1.177,00;Sek;1177;0;0;Min;nein;1,2;118%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;43276;02-0135a;1.000,00;1.000,00;27;Sek;27;0;0;Min;nein;0,0;3%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;43278;02-0135a;1.000,00;1.000,00;1.696,00;Sek;1696;0;0;Min;nein;1,7;170%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;44335;02-0135a;802;802;995;Sek;995;0;0;Min;nein;1,2;124%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;44337;02-0135a;1.200,00;1.200,00;1.325,00;Sek;1325;0;0;Min;nein;1,1;110%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;44520;02-0135a;2.000,00;2.000,00;2.287,00;Sek;2287;0;0;Min;nein;1,1;114%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;45876;02-0135a;2.000,00;2.000,00;2.343,00;Sek;2343;0;0;Min;nein;1,2;117%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;46151;02-0135a;3.200,00;3.200,00;4.242,00;Sek;4242;0;0;Min;nein;1,3;133%;#DIV/0!
02-0135a;1;N-MOSFET THT;IRF1405PBF;gebogen, geschnitten;MZ-TO220-Typ01;46550;02-0135a;477;477;500;Sek;500;0;0;Min;nein;1,0;105%;#DIV/0!
02-0135c;1;N-MOSFET THT;IRF1405PBF;geschnitten;MZ-TO220-Typ03;49628;02-0135c;1.000,00;1.000,00;1.897,00;Sek;1897;10;0;Min;nein;1,9;190%;0%
02-0135c;1;N-MOSFET THT;IRF1405PBF;geschnitten;MZ-TO220-Typ03;51649;02-0135c;643;643;736;Sek;736;10;0;Min;nein;1,1;114%;0%
02-0135c;1;N-MOSFET THT;IRF1405PBF;geschnitten;MZ-TO220-Typ03;54761;02-0135c;1.000,00;1.000,00;1.780,00;Sek;1780;10;0;Min;nein;1,8;178%;0%
02-0135c;1;N-MOSFET THT;IRF1405PBF;geschnitten;MZ-TO220-Typ03;58486;02-0135c;651;651;22;Sek;22;10;0;Min;nein;0,0;3%;0%
