Teil,TA,Bezeichnung,Aktivität,RMNr,rMenge,Sollte,IstteSek,Solltrsek,Isttrsek,Zustand,tges
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,60046,50,6000,3094,600,600.0,false,3694.0
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,60517,50,6000,3300,600,600.0,false,3900.0
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,62014,100,12000,10200,600,600.0,false,10800.0
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,45283,50,6000,4827,0,0.0,false,4827.0
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,45949,50,6000,5606,0,0.0,false,5606.0
057505545,9,Tankelektrode 95 K-FL KÄRCHER mit AMP Super-Seal-Stecker und Cable-Cover,Verpacken,46320,50,6000,5898,0,0.0,false,5898.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,45166,600,36000,61520,300,300.0,false,61820.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,52281,280,16800,29253,300,300.0,false,29553.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,54375,200,12000,31514,300,300.0,false,31814.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,55228,180,10800,28281,300,300.0,false,28581.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,56282,108,6480,17322,300,300.0,false,17622.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,56842,200,12000,27704,300,300.0,false,28004.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,59476,288,17280,42036,300,300.0,false,42336.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,60327,360,21600,40724,300,300.0,false,41024.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,63994,180,10800,17837,300,300.0,false,18137.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,65729,205,12300,20186,300,300.0,false,20486.0
06-0015a,1,Relais  bistabil  Schraubans. 100A 1S AgSnO 2x6V 2x8R mit 2 Drähten angelötet,mech. bearbeiten,66419,180,10800,26310,300,0.0,false,26310.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,47665,3,450,126,600,600.0,false,726.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,48207,3,450,0,600,456.0,false,456.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,48447,6,900,432,600,600.0,false,1032.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,51455,3,450,259,600,600.0,false,859.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,55378,6,900,812,600,600.0,false,1412.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,57611,3,450,445,600,600.0,false,1045.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,58794,4,600,2639,600,600.0,false,3239.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,59910,4,600,603,600,600.0,false,1203.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,60686,4,600,1200,600,600.0,false,1800.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,61674,4,600,1080,600,600.0,false,1680.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,62689,4,600,300,600,600.0,false,900.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,63955,4,600,2160,600,600.0,false,2760.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,43388,3,450,1096,0,0.0,false,1096.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,45395,3,450,2410,0,0.0,false,2410.0
0625,9,VAC 1215/15 Duo NSF Automatic Charger,Verpacken,46632,30,450,612,0,0.0,false,612.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,47299,10,1500,1754,600,600.0,false,2354.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,49354,3,450,74,600,600.0,false,674.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,51957,4,600,611,600,600.0,false,1211.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,53770,5,750,0,600,24.0,false,24.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,57390,4,600,379,600,600.0,false,979.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,58413,4,600,537,600,600.0,false,1137.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,61060,3,450,360,600,600.0,false,960.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,62015,6,900,900,600,600.0,false,1500.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,63500,6,900,2100,600,600.0,false,2700.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,64258,3,450,600,600,600.0,false,1200.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,43877,4,600,553,0,0.0,false,553.0
0626,9,VAC 1215/15 Duo Automatic Charger,Verpacken,46237,4,600,1030,0,0.0,false,1030.0
0627,9,VAC 1215/30 Duo Automatic Charger,Verpacken,52872,8,1200,1244,600,600.0,false,1844.0
0627,9,VAC 1215/30 Duo Automatic Charger,Verpacken,43389,8,1200,2738,0,0.0,false,2738.0
0627,9,VAC 1215/30 Duo Automatic Charger,Verpacken,44485,8,1200,2647,0,0.0,false,2647.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,47666,5,750,1041,600,600.0,false,1641.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,49879,5,750,0,600,492.0,false,492.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,51456,5,750,489,600,600.0,false,1089.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,53141,5,750,419,600,600.0,false,1019.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,55147,5,750,1386,600,600.0,false,1986.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,57932,5,750,2815,600,600.0,false,3415.0
0628,9,VAC 1215/30 Duo NSF Automatic Charger,Verpacken,45878,5,750,1650,0,0.0,false,1650.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,52693,4,600,1809,600,600.0,false,2409.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,56615,4,600,902,600,600.0,false,1502.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,57318,4,600,1300,600,600.0,false,1900.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,58502,4,600,722,600,600.0,false,1322.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,58789,4,600,1184,600,600.0,false,1784.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,61943,8,1200,2760,600,600.0,false,3360.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,64571,4,600,540,600,600.0,false,1140.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,43390,4,600,500,0,0.0,false,500.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,43405,8,1200,3074,0,0.0,false,3074.0
0631,9,VAC 1220/30 Duo Automatic Charger,Verpacken,43878,8,1200,1470,0,0.0,false,1470.0
0632,9,VAC 1220/30 Duo NSF Automatic Charger,Verpacken,55379,4,600,0,600,24.0,false,24.0
0632,9,VAC 1220/30 Duo NSF Automatic Charger,Verpacken,56872,3,450,497,600,600.0,false,1097.0
0632,9,VAC 1220/30 Duo NSF Automatic Charger,Verpacken,61675,4,600,360,600,600.0,false,960.0
0632,9,VAC 1220/30 Duo NSF Automatic Charger,Verpacken,46461,6,900,2304,0,0.0,false,2304.0
0633,9,VAC 1220/40 Duo NSF Automatic Charger,Verpacken,47137,5,750,823,600,600.0,false,1423.0
0633,9,VAC 1220/40 Duo NSF Automatic Charger,Verpacken,47667,5,750,713,600,600.0,false,1313.0
0633,9,VAC 1220/40 Duo NSF Automatic Charger,Verpacken,55380,8,1200,1610,600,600.0,false,2210.0
0633,9,VAC 1220/40 Duo NSF Automatic Charger,Verpacken,59009,5,750,798,600,600.0,false,1398.0
0634,9,VAC 1220/40 Duo Automatic Charger,Verpacken,47036,3,450,241,600,600.0,false,841.0
0634,9,VAC 1220/40 Duo Automatic Charger,Verpacken,56276,4,600,369,600,600.0,false,969.0
0636,9,VAC 1215/40 Duo Automatic Charger,Verpacken,56489,10,1500,1351,600,600.0,false,1951.0
0636,9,VAC 1215/40 Duo Automatic Charger,Verpacken,43406,4,600,1091,0,0.0,false,1091.0
0642,9,VAC 1230/30 Duo Automatic Charger,Verpacken,58070,4,600,578,600,600.0,false,1178.0
0642,9,VAC 1230/30 Duo Automatic Charger,Verpacken,62484,4,600,480,600,600.0,false,1080.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,51457,5,750,1820,600,600.0,false,2420.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,57440,16,2400,1802,600,600.0,false,2402.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,58071,16,2400,4920,600,600.0,false,5520.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,58512,16,2400,3739,600,600.0,false,4339.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,44486,5,750,1342,0,0.0,false,1342.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,45176,55,8250,13958,0,0.0,false,13958.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,45177,50,7500,11344,0,0.0,false,11344.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,45663,50,7500,14660,0,0.0,false,14660.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,45689,60,9000,14019,0,0.0,false,14019.0
0648,9,VAC 1225/50 Duo Automatic Charger,Verpacken,45691,30,4500,8178,0,0.0,false,8178.0
065200454,9,SP1-FA Füllstandsanzeige,Verpacken,65353,1,120,0,600,300.0,false,300.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,43169,10,1200,3037,0,0.0,false,3037.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,47108,20,2400,2198,600,600.0,false,2798.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,49933,10,1200,1267,600,600.0,false,1867.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,51864,10,1200,967,600,600.0,false,1567.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,52667,10,1200,642,600,600.0,false,1242.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,53727,10,1200,656,600,600.0,false,1256.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,54409,10,1200,2074,600,600.0,false,2674.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,55381,10,1200,1085,600,600.0,false,1685.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,56350,10,1200,1170,600,600.0,false,1770.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,57515,20,2400,1318,600,600.0,false,1918.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,60045,10,1200,0,600,24.0,false,24.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,60177,10,1200,1952,600,600.0,false,2552.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,61061,30,3600,7080,600,600.0,false,7680.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,62523,10,1200,1740,600,600.0,false,2340.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,64931,10,1200,1380,600,600.0,false,1980.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,65911,15,1800,3120,600,600.0,false,3720.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,44920,10,1200,3377,0,0.0,false,3377.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,45116,10,1200,2090,0,0.0,false,2090.0
0664,9,VAC 45-10/25 Triple CI Battery Charger,Verpacken,45664,20,2400,2152,0,0.0,false,2152.0
0666,9,VAC 60-15/30 Triple CI Battery Charger,Verpacken,53048,24,2880,3109,600,600.0,false,3709.0
0666,9,VAC 60-15/30 Triple CI Battery Charger,Verpacken,58639,10,1200,1265,600,600.0,false,1865.0
0666,9,VAC 60-15/30 Triple CI Battery Charger,Verpacken,64494,10,1200,900,600,600.0,false,1500.0
0666,9,VAC 60-15/30 Triple CI Battery Charger,Verpacken,43879,10,1200,1508,0,0.0,false,1508.0
067100654,9,VAC 1215/30 Duo Li (115V) (T) Automatic Charger,Verpacken,46811,30,4500,10120,0,0.0,false,10120.0
067100659,9,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,Verpacken,61874,22,3300,6120,600,600.0,true,6720.0
067100659,9,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,Verpacken,61944,10,1500,1500,600,600.0,true,2100.0
067100659,9,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,Verpacken,63380,10,1500,2700,600,516.0,true,3216.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,47820,35,4200,3832,600,600.0,false,4432.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,55352,24,2880,2730,600,600.0,false,3330.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,55353,30,3600,4245,600,600.0,false,4845.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,61331,70,8400,10800,600,600.0,false,11400.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,43746,30,3600,3172,0,0.0,false,3172.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,43921,60,7200,11901,0,0.0,false,11901.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,45193,19,2280,3407,0,0.0,false,3407.0
067103100T,9,Pb 1215 SMT 2B (T) Automatic Charger,Verpacken,46258,30,3600,3232,0,0.0,false,3232.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,51395,10,1500,1498,600,600.0,false,2098.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,54485,18,2700,3617,600,600.0,false,4217.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,56116,10,1500,1247,600,600.0,false,1847.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,56873,10,1500,2688,600,600.0,false,3288.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,57933,10,1500,2259,600,600.0,false,2859.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,58542,10,1500,2339,600,600.0,false,2939.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,58916,31,4650,9608,600,600.0,false,10208.0
067200659,9,VAC 1220/40 Duo Li (T) Automatic Charger,Verpacken,65335,2,300,360,600,600.0,false,960.0
067300659,9,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,Verpacken,66202,10,1500,3180,600,600.0,false,3780.0
067300659,9,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,Verpacken,66203,10,1500,4680,600,600.0,false,5280.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,47109,50,4000,5351,600,600.0,false,5951.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,49679,50,4000,5929,600,600.0,false,6529.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,50197,50,4000,8953,600,600.0,false,9553.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,52694,50,4000,6681,600,600.0,false,7281.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,55508,50,4000,9624,600,600.0,false,10224.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,57516,50,4000,0,600,42.0,false,42.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,59671,50,4000,7347,600,600.0,false,7947.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,61154,50,4000,5400,600,600.0,false,6000.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,63008,50,4000,9480,600,600.0,false,10080.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,63956,50,4000,9240,600,600.0,false,9840.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,66432,50,4000,6780,600,600.0,false,7380.0
0695,9,PFPN 1204 DIN14679:2024-02 TS-Battery Charger,Verpacken,44481,50,4000,6803,0,0.0,false,6803.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,50477,50,4000,6896,600,600.0,false,7496.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,52444,50,4000,6289,600,600.0,false,6889.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,57934,28,2240,3153,600,600.0,false,3753.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,58072,20,1600,2380,600,600.0,false,2980.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,60687,50,4000,150720,600,600.0,false,151320.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,44355,36,2880,5715,0,0.0,false,5715.0
0696,9,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,Verpacken,45928,20,1600,4692,0,0.0,false,4692.0
08-0070a,1,"Mantelleitung H03VV-F 2x0,75mm 20m schwarz 1: 21/7AE 2: 21/7 verz mit Amphenolstecker",Kabelfertigung,49096,100,6000,53246,300,300.0,false,53546.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,43442,100,400,12695,300,300.0,false,12995.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,46178,145,580,10733,300,300.0,false,11033.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,51106,100,24000,7485,300,300.0,false,7785.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,53373,115,27600,7354,300,300.0,false,7654.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,56672,100,24000,77261,300,300.0,false,77561.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,57658,100,24000,12025,300,300.0,false,12325.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,62629,100,24000,7635,300,300.0,false,7935.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,63294,95,22800,7307,300,300.0,false,7607.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,64259,98,23520,12290,300,300.0,false,12590.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,66142,5,1200,2608,300,300.0,false,2908.0
08-0095,1,"Einzelleitung Silikon 1,0mm² 1,15m blau 1:offen 2:Schrumpfschlauch",Kabelfertigung,66198,100,24000,12386,300,300.0,false,12686.0
08-0099,1,"Einzelleitung H05V-K 1,0mm² 60mm schwarz 1: 5verz 2: 5verz mit Schrumpfschlauch",Kabelfertigung,44697,25,50,4928,300,300.0,false,5228.0
08-0099,1,"Einzelleitung H05V-K 1,0mm² 60mm schwarz 1: 5verz 2: 5verz mit Schrumpfschlauch",Kabelfertigung,46638,72,144,8925,300,300.0,false,9225.0
08-0167,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Edelstahlstab",Kabelfertigung,48196,99,23760,10866,300,0.0,false,10866.0
08-0167,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Edelstahlstab",Kabelfertigung,49097,101,24240,18373,300,300.0,false,18673.0
08-0167,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Edelstahlstab",Kabelfertigung,66799,97,23280,16329,300,300.0,false,16629.0
08-0169,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Schrumpfschlauch",Kabelfertigung,48197,99,23760,8396,300,0.0,false,8396.0
08-0169,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Schrumpfschlauch",Kabelfertigung,49098,101,24240,9528,300,300.0,false,9828.0
08-0169,1,"Einzelleitung Silikon 1,0mm² 3,25m blau 1:5verz 2:Schrumpfschlauch",Kabelfertigung,66800,100,24000,11081,300,300.0,false,11381.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,43443,100,50,1811,300,300.0,false,2111.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,46179,130,65,2523,300,300.0,false,2823.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,51107,100,3000,1374,300,300.0,false,1674.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,53374,100,3000,1164,300,300.0,false,1464.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,56673,100,3000,2083,300,300.0,false,2383.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,57659,100,3000,3127,300,300.0,false,3427.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,58983,20,600,656,300,300.0,false,956.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,62667,100,3000,1443,300,300.0,false,1743.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,63295,85,2550,726,300,300.0,false,1026.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,64260,98,2940,2425,300,300.0,false,2725.0
08-0178,1,"Einzelleitung LiY 0,75mm² 1,15m schwarz",Leitung kürzen,66199,100,3000,1844,300,300.0,false,2144.0
08-0199,1,"Zwillingslitze 2x0,14 rt/ws 155mm 1:3-5verz 2:3-5verz",Kabelfertigung,66312,100,18000,9494,300,300.0,false,9794.0
08-0201,1,Einzelleitung hochflex 10mm² 90mm rot 1:12geritzt 2:12verz,Kabelfertigung,44498,100,200,6952,300,300.0,false,7252.0
08-0201,1,Einzelleitung hochflex 10mm² 90mm rot 1:12geritzt 2:12verz,Kabelfertigung,51994,60,7200,6403,300,300.0,false,6703.0
08-0201,1,Einzelleitung hochflex 10mm² 90mm rot 1:12geritzt 2:12verz,Kabelfertigung,55674,100,12000,21794,300,300.0,false,22094.0
08-0201,1,Einzelleitung hochflex 10mm² 90mm rot 1:12geritzt 2:12verz,Kabelfertigung,66281,100,12000,5631,300,300.0,false,5931.0
08-0221,1,"Einzelleitung LiY 0,75mm² 80mm schwarz 1:AE 2:AE",Kabelfertigung,51108,90,16200,5792,300,300.0,false,6092.0
08-0221,1,"Einzelleitung LiY 0,75mm² 80mm schwarz 1:AE 2:AE",Kabelfertigung,57546,98,17640,7455,300,300.0,false,7755.0
08-0221,1,"Einzelleitung LiY 0,75mm² 80mm schwarz 1:AE 2:AE",Kabelfertigung,58775,105,18900,7924,300,300.0,false,8224.0
08-0262,6,Modularkabel 6pol 1m schwarz 2x 6P6C Stecker 1:1,Kabelfertigung,57161,10,300,0,300,24.0,false,24.0
08-0311,1,"Calix Einbaukabel 1,5mm² 2,0m mit Schrumpfschlauch",Kabelfertigung,58908,20,600,15373,300,300.0,false,15673.0
08-0311,1,"Calix Einbaukabel 1,5mm² 2,0m mit Schrumpfschlauch",Kabelfertigung,62064,20,600,18898,300,300.0,false,19198.0
08-0314,6,"Ölflexkabel 2x4mm² 4,15m grau 1:30AE 2:50FSH(09-0005)",Kabelfertigung,60985,21,1890,19364,300,300.0,false,19664.0
08-0320,1,"Mantelleitung H07RN-F 2x2,5mm² 2,55m schwarz 1:25/7AE 2:25/7AE",Kabelfertigung,44521,12,36,8463,300,300.0,false,8763.0
08-0320,1,"Mantelleitung H07RN-F 2x2,5mm² 2,55m schwarz 1:25/7AE 2:25/7AE",Kabelfertigung,53472,6,1080,2456,300,300.0,false,2756.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,46055,5,50,3524,600,600.0,false,4124.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,54858,5,1500,12772,300,300.0,false,13072.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,59456,5,1500,10567,300,300.0,false,10867.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,61753,5,1500,4032,300,300.0,false,4332.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,64346,5,1500,7344,300,300.0,false,7644.0
08-0321,1,"Spiralkabel PUR 3x2,5mm² 5m orange 1:50FSH 2:Speakon",Kabelfertigung,65587,5,1500,11014,300,300.0,false,11314.0
08-0323,1,"Flachbandkabel RM1,27 4pol 450mm in Adaglas-Schlauch 6pol Stiftleiste 2.Seite verzinnt",Kabelfertigung,58444,10,3000,6049,300,300.0,false,6349.0
08-0323,1,"Flachbandkabel RM1,27 4pol 450mm in Adaglas-Schlauch 6pol Stiftleiste 2.Seite verzinnt",Kabelfertigung,61327,10,3000,6666,300,300.0,false,6966.0
08-0326,6,"Modularkabel 8pol 2,5m schwarz 2x 8P8C Stecker 1:1 + PG 9 mit Kabelbinder",Kabelfertigung,61416,5,300,1763,300,300.0,false,2063.0
08-0329,1,"Mantelleitung 4x1,0mm² 1,7m schwarz mit Stecker nach MA-KG20-1",Kabelfertigung,48198,100,30000,38273,300,0.0,false,38273.0
08-0338,6,Modularkabel 8pol 3m schwarz 2x 8P8C Stecker 1:1 gewickelt mit Gummiring,Kabelfertigung,47473,15,450,0,18000,4854.0,false,4854.0
