Teil,TA,Bezeichnung,Aktivität,RMNr,rMenge,Sollte,IstteSek,Solltrsek,Isttrsek,Zustand,tges
0090,9,ELV 14/1 Elektro-Verteilung,Verpacken,59340,25,3000,4620,600,600.0,false,5220.0
0090,9,ELV 14/1 Elektro-Verteilung,Verpacken,65581,23,2760,4320,600,600.0,false,4920.0
0090,9,ELV 14/1 Elektro-Verteilung,Verpacken,43448,25,3000,3026,0,0.0,false,3026.0
0091,9,ELV 24/5 Elektro-Verteilung,Verpacken,47654,13,780,1439,600,600.0,false,2039.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,50887,100,3000,43993,120,120.0,false,44113.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,54377,70,2100,23039,120,120.0,false,23159.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,59835,50,1500,13812,120,120.0,false,13932.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,61124,50,1500,14760,120,120.0,false,14880.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,62063,40,1200,15418,120,120.0,false,15538.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,65759,100,3000,30754,120,120.0,false,30874.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,67191,60,10800,18371,120,120.0,false,18491.0
01-0308a,1,Platine VAF01d Rev.BDCJ Kleinlader Typ 21 gefräßt für Schutzklasse 2 MZ-VAF01c-01,mech. bearbeiten,46393,100,50,8343,0,0.0,false,8343.0
017105783,9,MT Smart-Shunt 200 A verpackt inkl. Masseband 35 mm,Verpacken,45195,1,30,23,0,0.0,true,23.0
017202067,9,Fernbedienung MT-Inverter unverpackt ohne Zubehör,Verpacken,45194,20,1800,180,0,0.0,true,180.0
017203098,9,MT BCB-40/40 IUOU Battery-Control-Booster,Verpacken,44459,100,15000,33813,0,0.0,true,33813.0
017203098,9,MT BCB-40/40 IUOU Battery-Control-Booster,Verpacken,44461,100,15000,31612,0,0.0,true,31612.0
017203098,9,MT BCB-40/40 IUOU Battery-Control-Booster,Verpacken,45243,2,300,901,0,0.0,true,901.0
02-0002a,1,"Silizium Diode THT 1N4148 75V 0,3A 0,44W DO35 RM10 4mm MZ-Diode-2 MZ-Diode-2",Bauteil schneiden,50231,2000,4000,0,900,78.0,false,78.0
02-0002a,1,"Silizium Diode THT 1N4148 75V 0,3A 0,44W DO35 RM10 4mm MZ-Diode-2 MZ-Diode-2",Bauteil schneiden,57781,1500,3000,0,900,372.0,false,372.0
02-0010a,1,"Z-Diode THT BZX55C12V od. ZPD12 gebogen, geschnitten RM10 4mm MZ-Diode-2",Bauteil schneiden,52303,980,1960,0,900,342.0,false,342.0
02-0010a,1,"Z-Diode THT BZX55C12V od. ZPD12 gebogen, geschnitten RM10 4mm MZ-Diode-2",Bauteil schneiden,57782,500,1000,0,900,96.0,false,96.0
02-0026a,1,"NPN-Transistor THT MPSA42 300V 0,5A 0,625W TO92 Werkzeug W047 5,5mm MZ-Transistor-2",Bauteil schneiden,50226,2731,5462,0,900,492.0,false,492.0
02-0026a,1,"NPN-Transistor THT MPSA42 300V 0,5A 0,625W TO92 Werkzeug W047 5,5mm MZ-Transistor-2",Bauteil schneiden,60894,3500,7000,0,900,600.0,false,600.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,48900,100,100,245,600,0.0,false,245.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,48902,1000,1000,1187,600,0.0,false,1187.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,51630,600,600,1493,600,0.0,false,1493.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,52524,500,500,750,600,0.0,false,750.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,53350,495,495,986,600,0.0,false,986.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,54289,1000,1000,1611,600,0.0,false,1611.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,56637,1000,1000,1036,600,0.0,false,1036.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,59416,1000,1000,1449,600,0.0,false,1449.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,59417,1000,1000,1889,600,0.0,false,1889.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,65888,1000,1000,1347,600,0.0,false,1347.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,45138,6,6,11,0,0.0,false,11.0
02-0028a,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ04,02-0028a,45139,993,993,2418,0,0.0,false,2418.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,48696,250,250,311,600,0.0,false,311.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,48806,600,600,726,600,0.0,false,726.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,48909,1000,1000,1570,600,0.0,false,1570.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,51631,350,350,42,600,0.0,false,42.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,52320,1000,1000,2407,600,0.0,false,2407.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,53555,1000,1000,1548,600,0.0,false,1548.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,55865,997,997,3615,600,0.0,false,3615.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,63693,1000,1000,1752,600,0.0,false,1752.0
02-0028b,1,NPN-Transistor THT BD241C geschnitten MZ-TO220-Typ13,Bauteil schneiden,63900,1000,1000,2021,600,0.0,false,2021.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,47646,2000,4000,0,900,228.0,false,228.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,49842,1999,3998,0,900,258.0,false,258.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,53465,2000,4000,0,900,390.0,false,390.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,54283,2000,4000,0,900,78.0,false,78.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,58101,2000,4000,363,900,900.0,false,1263.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,61624,2000,4000,154,900,900.0,false,1054.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,66300,2000,4000,0,900,294.0,false,294.0
02-0036a,1,"IC THT linear Spannungsregler L 78L05ACZTR 5V 0,1A positiv TO92 Werkz. W0047 5,5mm MZ-Transistor-2",Bauteil schneiden,43430,1997,5991,279,0,0.0,false,279.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,49284,17,17,106,600,0.0,false,106.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,49285,50,50,139,600,0.0,false,139.0
02-0038a,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ04,Bauteil schneiden,49286,1000,1000,737,600,0.0,false,737.0
